ANO,TITULO,TIPO,ACTOR,POPULARIDAD,Awards
1990,Tie Me Up Tie Me Down,Comedy,Banderas  Antonio,68,No
1991,High Heels,Comedy,Bose  Miguel,68,No
1983,Dead Zone, The Horror,Walken  Christopher,79,No
1979,Cuba,Action,Connery  Sean,6,No
1978,Days of Heaven,Drama,Gere  Richard,14,No
1983,Octopussy,Action,Moore  Roger,68,No
1984,Target Eagle,Action,Connors  Chuck,14,No
1985,Subway,Drama,Lambert  Christopher,6,No
1990,Camille Claudel,Drama,Depardieu  Gerard,32,No
1982,Fanny and Alexander,Drama,Ahlstedt  Borje,81,Yes
